epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
111,8641.79,1.34317,1.37349,1.17982,0.90751,0.85148,0.91371,0.69652,1.35124,1.06926,1.13662,0.00422361,0.00422361,0.00422361
112,8718.74,1.33788,1.35225,1.17315,0.88402,0.87998,0.91616,0.69674,1.34903,1.06857,1.13826,0.00414621,0.00414621,0.00414621
113,8796.27,1.33927,1.34959,1.16985,0.8836,0.87739,0.91772,0.69816,1.34378,1.0665,1.13746,0.00406903,0.00406903,0.00406903
114,8873.62,1.3184,1.33211,1.15902,0.87998,0.88137,0.91838,0.69731,1.34444,1.05999,1.13865,0.00399208,0.00399208,0.00399208
115,8950.07,1.31592,1.32123,1.162,0.88168,0.88057,0.91923,0.69873,1.34043,1.05919,1.13785,0.00391537,0.00391537,0.00391537
116,9027.34,1.31446,1.33772,1.17114,0.88421,0.87551,0.91953,0.70127,1.33528,1.06143,1.13663,0.00383894,0.00383894,0.00383894
117,9104.36,1.30392,1.31167,1.16379,0.88898,0.87341,0.91899,0.70136,1.33082,1.06029,1.13479,0.00376279,0.00376279,0.00376279
118,9181.39,1.30784,1.31828,1.15173,0.89441,0.86323,0.91847,0.70281,1.32815,1.06177,1.1328,0.00368695,0.00368695,0.00368695
119,9258.96,1.30536,1.31856,1.14648,0.89047,0.8674,0.9179,0.70336,1.32928,1.06956,1.13178,0.00361144,0.00361144,0.00361144
120,9336.21,1.2927,1.29436,1.14214,0.89018,0.87129,0.9188,0.70493,1.32671,1.06768,1.12995,0.00353627,0.00353627,0.00353627
121,9413.43,1.29424,1.30103,1.14938,0.89789,0.86812,0.91918,0.7059,1.32105,1.06096,1.12692,0.00346146,0.00346146,0.00346146
122,9490.68,1.29027,1.30259,1.16178,0.8951,0.86863,0.91932,0.70604,1.31979,1.06038,1.12663,0.00338703,0.00338703,0.00338703
123,9568,1.28967,1.30426,1.16028,0.90381,0.86036,0.91896,0.70673,1.31623,1.0579,1.12677,0.003313,0.003313,0.003313
124,9645.23,1.29422,1.29084,1.15841,0.90768,0.86107,0.9206,0.7061,1.31424,1.0574,1.12581,0.00323939,0.00323939,0.00323939
125,9721.88,1.27233,1.27663,1.14326,0.90346,0.86306,0.92014,0.70718,1.31044,1.0498,1.12378,0.00316622,0.00316622,0.00316622
126,9798.97,1.27158,1.26959,1.14337,0.90141,0.86628,0.91922,0.70642,1.309,1.04913,1.12226,0.0030935,0.0030935,0.0030935
127,9875.43,1.27872,1.26878,1.14539,0.89762,0.87254,0.91876,0.7074,1.30745,1.04891,1.1212,0.00302125,0.00302125,0.00302125
128,9952.52,1.2664,1.26138,1.1443,0.89601,0.87127,0.91802,0.70777,1.30691,1.05584,1.12097,0.00294949,0.00294949,0.00294949
129,10029.6,1.25558,1.24802,1.13799,0.89076,0.87646,0.91938,0.70907,1.30617,1.056,1.12061,0.00287823,0.00287823,0.00287823
130,10106.7,1.2528,1.24625,1.13459,0.88464,0.88296,0.92012,0.71031,1.30234,1.05281,1.11925,0.0028075,0.0028075,0.0028075
131,10183.8,1.24719,1.24719,1.14543,0.88447,0.88386,0.91961,0.71023,1.29918,1.0467,1.11765,0.00273732,0.00273732,0.00273732
132,10260.5,1.24076,1.23026,1.13962,0.8886,0.88273,0.91971,0.7118,1.29641,1.04523,1.11672,0.00266769,0.00266769,0.00266769
133,10338.1,1.25064,1.24662,1.13692,0.88688,0.88013,0.91937,0.71297,1.29505,1.04712,1.11669,0.00259864,0.00259864,0.00259864
134,10415.1,1.22474,1.20774,1.1264,0.88786,0.87978,0.91942,0.71286,1.29199,1.04258,1.11541,0.00253018,0.00253018,0.00253018
135,10491.7,1.22821,1.23421,1.13029,0.88672,0.87878,0.91994,0.71282,1.29112,1.04541,1.11532,0.00246234,0.00246234,0.00246234
136,10568.5,1.22783,1.22397,1.13419,0.9076,0.86028,0.92032,0.71366,1.28883,1.04411,1.11464,0.00239512,0.00239512,0.00239512
137,10645.9,1.22689,1.21972,1.12372,0.88755,0.88455,0.92102,0.71592,1.28836,1.04134,1.11427,0.00232855,0.00232855,0.00232855
138,10723.4,1.22099,1.21054,1.11735,0.89002,0.88455,0.92123,0.71567,1.28715,1.04048,1.11351,0.00226263,0.00226263,0.00226263
139,10799.9,1.21118,1.18669,1.11178,0.89172,0.88513,0.92168,0.71435,1.2881,1.0424,1.11375,0.00219739,0.00219739,0.00219739
140,10876.3,1.2182,1.19943,1.11577,0.8905,0.88535,0.92137,0.71607,1.28629,1.03985,1.11272,0.00213285,0.00213285,0.00213285
